Index,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17
2011-06-30,9.84,6.06,7,NA,86.2,8.2,10.16,37.39,8.55,25.87,15.09,191.15,13.41,5.74,8.17,14.06,9.59,NA
2011-07-01,9.74,5.98,6.99,NA,85.31,8.23,9.98,36.69,8.57,25.06,14.68,187.13,13.55,5.67,8.07,13.96,9.62,48.32
2011-07-04,10.1,5.74,6.97,NA,83.31,8.14,10.03,36.62,8.57,25.71,14.64,185.75,13.85,5.74,8.11,14.04,9.7,49.29
2011-07-05,10.05,5.76,7.03,NA,85.63,8.43,10.17,36.5,8.59,26.07,14.78,186.54,14.05,5.78,8.2,NA,9.74,49.6
2011-07-06,9.92,5.8,6.98,NA,84.05,8.41,10.08,36.31,8.6,26.92,14.59,183.55,14,5.74,8.12,NA,9.75,50
2011-07-07,9.93,5.75,7.01,NA,85.52,8.72,10.25,36.05,8.67,26.84,14.57,183.43,14.3,5.74,8.28,NA,9.75,53.41
2011-07-08,10.14,5.58,7.2,NA,85.64,8.82,10.37,34.44,8.66,27.27,14.3,180.91,14.23,5.75,8.27,NA,9.73,53.41
2011-07-11,10.05,5.63,7.16,NA,82.26,8.71,10.25,33.97,8.54,26.84,14.09,178.95,14.31,5.64,8.17,14.28,9.57,51.11
2011-07-12,9.88,5.74,7.18,NA,87,8.6,10.06,33.56,8.65,25.79,14.16,178.71,14.28,5.69,8.16,13.87,9.51,53.06
2011-07-13,10.01,5.81,7.07,NA,87.35,8.41,10.05,34.55,8.53,24.87,14.36,179.85,14.09,5.69,8.04,13.97,9.61,52.5
2011-07-14,10.1,5.78,7.15,NA,88.42,8.61,10.24,34,8.56,25.52,14.03,179.46,14.33,5.69,8.08,14.3,9.74,52.69
2011-07-15,10.09,5.75,7.23,18.48,97.26,8.69,10.47,34.42,8.71,25.09,13.66,176.98,14.81,5.73,7.89,14.73,10.09,53.85
2011-07-18,10,5.74,7.25,18.39,96.72,8.61,10.4,34.74,8.71,25.93,13.5,174.94,14.8,5.76,7.9,14.61,10.06,53.22
2011-07-19,9.85,5.79,7.24,19.9,95.55,8.55,10.49,35.59,8.84,26.4,13.89,175.66,14.92,5.99,7.91,14.8,10.25,53.59
2011-07-20,9.84,5.81,7.31,19.72,96.69,8.5,10.34,35.58,8.78,25.61,13.67,177.49,14.98,5.99,7.76,14.6,10.13,52.99
2011-07-21,9.73,5.8,7.52,19.46,89.99,NA,10.33,35.82,8.86,25.84,13.66,177.42,14.81,5.93,8.39,14.53,10.05,51.48
2011-07-22,9.7,5.87,7.46,19,90.12,8.85,10.6,36.48,8.89,25.99,14.04,178.33,15.32,5.94,8.33,NA,10.2,52.28
2011-07-25,9.43,6.03,7.42,19.1,87.86,9.21,10.47,35.89,8.82,26.32,14.09,175.74,15.31,5.9,8.22,14.62,10.17,52.85
2011-07-26,9.42,6.03,7.32,18.49,89.12,9.16,10.6,36.06,8.89,NA,14.08,172.38,15.18,5.96,8.27,14.83,10.3,53.87
2011-07-27,9.39,5.97,7.38,18.37,87.94,9.01,10.52,34.8,9.05,28.25,14.21,173.06,15.12,5.92,8.44,14.79,10.82,NA
2011-07-28,9.22,5.72,7.35,17.73,84.51,8.72,10.19,34.9,8.97,27.88,13.89,173.38,14.83,5.83,8.4,14.21,11.36,NA
2011-07-29,9.4,5.73,7.27,18.1,84.98,8.94,10.19,35.35,8.88,27.01,14.39,174.8,14.66,5.96,8.47,14.18,11.18,NA
2011-08-01,9.32,5.71,7.34,18.31,88.92,8.96,NA,35.23,8.88,27.11,14.51,174.86,14.65,6.05,8.72,14.48,11.74,NA
2011-08-02,9.26,5.85,7.32,18.07,90.04,8.82,NA,34.4,8.72,26.82,14.15,176.15,14.65,5.99,8.93,14.22,11.36,NA
2011-08-03,9.26,5.85,7.12,18.09,87.41,8.38,NA,35.06,8.62,26.25,14.37,183.06,14.64,6.01,8.97,13.89,11.37,54.02
2011-08-04,9.28,5.74,7.09,18.19,87.94,8.34,9.76,35.19,8.52,25.17,14.16,181.17,14.71,5.79,9.07,13.43,10.94,50.96
2011-08-05,9.03,5.75,7.04,17.8,NA,8.19,9.78,34.82,8.55,24.6,13.72,181.15,14.55,5.78,8.97,13.4,10.84,50.45
2011-08-08,8.73,5.77,6.9,17.75,85.17,8.18,9.63,33.85,8.52,23.85,13.39,178.42,14.68,5.78,8.34,13.23,10.3,50.62
2011-08-09,8.87,5.73,NA,18.22,86.71,8.26,9.72,34.02,8.64,24.34,13.64,182.31,14.46,5.84,8.69,NA,10.61,51.24
2011-08-10,8.91,5.66,7.05,18.13,85.19,8.31,9.74,35.66,8.68,24.97,14.03,185.86,14.42,5.85,8.69,13.33,11.14,49.22
2011-08-11,9.1,5.74,6.91,17.11,83.04,8.06,9.4,36.8,8.47,23.46,14.09,183.5,14.05,5.66,8.4,12.7,11.11,47.22
2011-08-12,9.03,5.74,6.97,16.97,82.92,8.08,9.45,37.17,8.58,23.46,14.19,184.95,14.1,5.7,8.37,12.69,11.1,47.13
2011-08-15,9.37,5.79,6.89,17.1,89.44,8.16,9.43,37.37,8.48,23.63,14.44,185.81,14.04,5.67,8.69,12.62,11.44,45.55
2011-08-16,9.35,5.74,6.89,17.13,91.52,8.2,9.46,38,8.43,23.47,14.36,184.16,14,5.65,8.58,12.69,11.52,46.18
2011-08-17,9.28,5.68,6.91,17.06,97.48,8.27,9.55,37.72,8.45,24.14,14.16,183.59,14.16,5.78,8.54,12.93,11.63,46.43
2011-08-18,9.12,5.67,6.87,16.61,98.72,8.2,9.24,37.75,8.4,24.06,14.39,185.27,14.03,5.78,8.69,12.78,12.21,46.35
2011-08-19,9.02,5.63,6.74,16.56,64.36,7.06,9.1,NA,8.32,18.02,NA,187.32,13.93,5.66,8.55,12.83,12.26,44.21
2011-08-22,8.98,5.62,6.71,16.57,64.04,7.22,9.22,NA,NA,17.35,14.27,187.66,14.06,5.6,8.34,13.1,12.87,44.93
2011-08-23,9.18,5.45,6.62,16.62,64.09,7.18,NA,NA,8.28,17.1,13.94,187.67,13.88,5.54,8.11,12.99,13.34,44.07
2011-08-24,9.1,5.44,6.68,16.84,60.15,7.18,9.15,NA,8.27,17.16,13.82,187.63,14.06,5.57,8.12,13.02,12.99,45.09
2011-08-25,9.48,5.44,6.72,16.91,59.88,7.21,9.23,NA,8.32,17.38,13.93,194.95,14.3,5.56,8.22,13.05,13,45.06
2011-08-26,9.46,5.32,6.64,16.77,61.2,7.09,9.15,35.24,8.3,17.28,13.92,199.88,14.23,5.6,8.1,12.86,NA,45.28
2011-08-29,9.18,5.44,6.6,16.55,64.88,7.11,9.15,35.03,8.3,17.1,13.85,200.83,14.27,5.7,8.05,12.88,13.06,45.46
2011-08-30,9.19,5.4,6.41,16.01,64.36,6.72,8.87,33.92,8.11,16.22,13.35,197.03,13.91,5.55,7.7,12.41,12.41,44.54
2011-08-31,9.29,5.35,6.38,16.19,70.64,6.66,8.9,33.99,8.09,16.34,13.44,194.61,13.83,NA,7.77,12.37,12.59,45.73
2011-09-01,9.37,5.36,6.34,16.18,69.97,6.51,8.81,NA,8.01,16.35,13.01,NA,13.59,5.48,7.49,12.24,13.17,45.97
